"id","preco_previsto"
1.35e+37,83919.8638073657
3e+38,80966.0670439613
3.16e+38,233509.172209448
2.23e+38,99539.3716878815
1.6e+38,95066.5923703254
2.63e+38,63392.6521944427
2.54e+38,136954.832109448
2.61e+37,192968.852290492
2.17e+35,183516.922491055
1.86e+38,250648.911148796
1.93e+38,123888.402514183
2.39e+38,156137.68012365
5.54e+37,123275.257686609
2.15e+38,236922.599074923
8.16e+37,161205.02862757
1.45e+38,195423.704689023
1.85e+38,181038.779675143
3.33e+38,123626.349254901
1.15e+38,171018.444733772
2.08e+37,83438.9041530592
1.86e+38,109935.40421378
6.07e+37,87338.4508671981
2.52e+38,336821.41270732
1.44e+38,50242.6235678181
2.87e+38,124687.352938399
1.05e+38,87603.5825871452
8.31e+37,235380.133407896
2.54e+38,89990.881536464
4.76e+37,129576.506885785
1.44e+38,213705.594490016
1.96e+38,238557.238497707
2.45e+38,71808.7197093293
8.46e+37,77876.6665649435
2.72e+38,173168.097722199
5e+37,73770.2859788877
2.81e+38,83578.6533283567
9.31e+37,150711.877055911
2.67e+37,398548.795952516
1.88e+38,60126.7092926244
7.25e+37,118073.714973255
2.29e+38,124133.733534368
1.12e+38,152567.35400852
2.23e+38,50543.8024947404
1.74e+38,94393.558482485
6.56e+37,177924.358507325
1.25e+37,367596.018863818
3.36e+38,57764.7994318753
7.95e+37,86862.1410834871
8.27e+37,130312.71952608
1.45e+38,85843.6339705572
1.48e+38,81559.3495406048
8.18e+37,145502.481251832
1.74e+37,85330.5167973627
2.21e+38,159801.898658908
3.23e+37,124066.022555025
4.47e+37,130950.509851906
2.57e+38,226727.975727289
1.02e+38,163144.515857077
2.95e+38,111791.156855358
2.17e+38,94695.8352022465
2.31e+38,83136.3465419332
2.29e+38,89660.4433209396
2.27e+38,121815.638898265
1.79e+38,75035.6556339649
2.33e+38,121916.441014298
1.2e+38,59375.7998804692
3.08e+38,86036.5317687064
1.48e+38,85238.474661265
3.23e+38,181316.040284201
2.4e+38,340500.844606604
1.14e+38,86698.0879170668
1.1e+38,149167.927057068
1.4e+37,95757.8784652125
1.85e+38,140744.725491397
2.33e+38,36491.1260703048
2.72e+38,165784.609511993
2.34e+38,100691.445377609
1.35e+38,110064.73138731
6.54e+37,125517.576152549
7.64e+35,75559.443964299
2.63e+38,110223.567342122
2.51e+38,55989.3109114828
2.54e+38,246647.248719028
2.86e+38,133016.091390589
1.82e+37,124518.920182867
1.32e+38,91956.0646573434
1.03e+38,245820.894896113
3.91e+36,254761.938307312
2.89e+38,80106.4243386255
7.81e+37,73503.3582195098
3.56e+37,130148.79395998
1.8e+38,122729.160415478
3.11e+38,99666.5604583999
2.81e+38,102615.907613593
1.16e+38,107827.774122467
5.73e+36,132741.438545167
2.57e+38,159849.067800696
2.87e+38,139471.62981648
3.43e+37,81560.8171489651
1.3e+38,73588.1345600417
6.38e+37,75291.7562348362
2.34e+38,128437.178779696
1.39e+38,122809.933990709
1.72e+38,67498.4308588847
7.12e+36,73896.3717055015
3.29e+37,131996.352719386
2.3e+38,133145.076111366
3.16e+38,145311.830221092
3.01e+38,74524.2779744883
2.28e+38,83996.1794005626
2.29e+38,122807.970445532
6.81e+37,218475.555913577
1.69e+38,47513.5525513355
1.5e+38,75111.2657114726
6.63e+37,233901.097069766
2.63e+38,131508.913050735
3.18e+38,77263.2070501761
2.49e+37,142768.393780064
2.3e+38,86871.9395685261
7.4e+37,318243.496660359
1.45e+38,113686.624799465
